id,probabilidad,decil
155,0.09470704926407393,9
156,0.023409171693139635,5
157,0.09647473292468378,9
158,0.0982604618818777,10
160,0.06521258116084731,8
161,0.005304600787481387,3
162,0.0036686307022862547,3
163,0.0015081963525191186,2
164,0.06453001543079559,8
165,0.0006777398788384833,1
166,0.09699005150896495,10
167,0.022671380980265596,4
168,0.0016441937920728387,2
169,0.007811417167422627,4
170,0.09647473292468378,9
171,0.0012385658703431743,2
172,0.0219130144415175,4
173,0.0006777398788384833,1
174,0.06196383734326203,7
175,0.004885935783168314,3
176,0.09737634688083795,10
177,0.022979659461686258,4
179,0.024011013096134192,5
180,0.006910708159722212,4
181,0.06860417429249963,8
182,0.09470146751338669,9
183,0.06279194574636875,8
184,0.11935889298302187,10
185,0.09470704926407393,9
186,0.0005783989137574082,1
187,0.0005670463976796486,1
188,0.010293305380433833,4
189,0.0013130416170291854,2
190,0.06229923164519531,8
192,0.06225706526655154,7
193,0.09670705915812386,9
194,0.006568313297145113,4
196,0.005687380865618054,3
197,0.09679921626564157,9
198,0.022633845589101864,4
199,0.003407291324135588,3
200,0.08997705821560366,9
201,0.027059104842730167,6
202,0.06211125568485443,7
203,0.005553640603644549,3
204,0.02706381925565915,6
205,0.07193087246663443,8
206,0.09473950839197455,9
207,0.000971186748061522,1
208,0.024022699694546717,5
209,0.005744114620451071,3
210,0.0291525523449741,6
211,0.06196383734326203,7
212,0.0016834786044970678,2
213,0.02706381925565915,6
214,0.06253734229687764,8
215,0.09688508050882738,10
216,0.0077552071875859815,4
217,0.0009789130845051707,1
218,0.02630752253424134,5
219,0.0018875634901968342,2
220,0.001007868181256121,1
221,0.06196383734326203,7
222,0.0001554918199885237,1
223,0.06161721874490648,7
224,0.0054472715134528185,3
225,0.06245105167216417,8
226,0.09473950839197455,9
227,0.0007814055944133035,1
228,0.02319389315773452,4
229,0.0036061106522465086,3
230,0.06253734229687764,8
231,0.024022699694546717,5
232,0.06165182177418405,7
233,0.0029581296848001488,3
234,0.0011640933484283805,2
235,0.026037522527837767,5
237,0.06225706526655154,7
238,0.0010545103863658697,1
239,0.07141579253420126,8
240,0.06869218639459944,8
241,0.005580771029183775,3
242,0.030060477091615252,6
243,0.09572263984532312,9
244,0.0002553947721626773,1
245,0.06208824489872932,7
246,0.0015621356340887302,2
247,0.06227794442831775,8
248,0.09670705915812386,9
249,0.002164286258722947,2
250,0.007015756566012486,4
251,0.02554737840933535,5
252,0.02319389315773452,4
253,0.06236734630173977,8
255,0.09473950839197455,9
256,0.005431067249147028,3
257,0.0016351812565142732,2
258,0.002667489100083698,2
259,0.0009178057371815139,1
260,0.06161721874490648,7
261,0.0074716665689407505,4
262,0.0033766479830006774,3
263,0.0001947463768115942,1
264,0.001406351105242503,2
266,0.02620823578501745,5
267,0.024011013096134192,5
268,0.07141579253420126,8
269,0.06524374954014692,8
270,0.022979659461686258,4
271,0.0002159294315325766,1
272,0.09679921626564157,9
273,0.06165182177418405,7
274,0.0028983319325644745,3
275,0.06229923164519531,8
276,0.0037409934153072627,3
277,0.0017168350886401216,2
278,0.0018302554968790867,2
279,0.00029778842281855496,1
280,0.0007814055944133035,1
281,0.0621401800202866,7
282,0.022633845589101864,4
283,0.02706381925565915,6
284,0.0014856387114165588,2
285,0.10340772679832622,10
286,0.09737634688083795,10
287,0.0036223549468332532,3
288,0.11408192727568163,10
289,0.0001947463768115942,1
290,0.0077552071875859815,4
291,0.00027478945064214095,1
292,0.06869218639459944,8
293,0.06860417429249963,8
294,0.0007652248352425678,1
295,0.013927864443584364,4
296,0.02388477665953116,5
297,0.0009185158459360735,1
298,0.004933680922287736,3
300,0.026761115418390036,6
301,0.10285398652340742,10
302,0.005214147266665841,3
303,0.0016083005777372656,2
305,0.06521258116084731,8
306,0.12228945081220834,10
307,0.001406351105242503,2
308,0.0009218439062290064,1
309,0.005687380865618054,3
310,0.004663192779956315,3
312,0.0029581296848001488,3
313,0.030060477091615252,6
314,0.0016011907582518508,2
315,0.02736255045857041,6
316,0.7105106033125419,10
317,0.02736255045857041,6
318,0.0006283434198617367,1
319,0.0030134439716397845,3
321,0.001553586043976226,2
322,0.0012749131828072608,2
323,0.06141084599560007,7
324,7.024224622863665e-05,1
326,0.02637369641418571,6
327,0.0019191099403510707,2
328,0.09473950839197455,9
329,0.12228945081220834,10
330,0.030060477091615252,6
331,0.025321394915651503,5
332,0.024022699694546717,5
333,0.0016441937920728387,2
334,0.09483273096817456,9
336,0.11935889298302187,10
337,0.02620823578501745,5
339,0.0008504389034061699,1
340,0.00029778842281855496,1
341,0.030060477091615252,6
343,0.0014525760361765502,2
344,0.0006777398788384833,1
345,0.005872263879282325,3
346,0.030060477091615252,6
347,0.000947311316791459,1
348,0.030060477091615252,6
349,0.0013700632458232105,2
350,0.02461668134226331,5
351,0.0013130416170291854,2
352,0.06208824489872932,7
353,0.004467466828744406,3
354,0.0030131232962019045,3
